user_id,article_id
1,3025831
1,3023391
1,3025857
1,3023074
1,3025199
1,3025138
1,3022718
2,3022541
2,3025112
2,3023393
2,3022481
2,3022607
2,3024298
2,3023391
2,3023016
2,3025186
2,3025824
2,3024429
2,3025857
2,3025199
2,3025213
2,3024014
2,3022479
2,3023498
3,3025199
3,3025981
3,3022481
3,3024956
3,3024298
3,3026104
3,3025824
3,3023670
3,3025432
3,3023016
3,3022265
3,3024911
3,3023634
3,3022552
3,3022906
3,3025275
3,3025819
3,3025327
3,3022906
3,3023670
3,3024956
3,3023843
3,3024394
3,3023391
4,3023593
4,3022716
4,3025455
4,3023495
4,3024014
4,3025869
4,3022431
4,3025939
4,3022431
4,3024821
4,3024112
4,3023843
4,3025327
4,3022815
4,3022607
4,3023391
4,3025921
4,3025875
4,3023393
4,3025869
4,3025074
4,3023843
6,3024888
6,3023593
6,3025563
6,3022775
6,3023393
6,3023670
6,3022679
6,3025275
6,3025244
6,3025275
6,3022860
7,3023074
7,3025186
7,3025783
8,3022919
8,3023393
8,3023498
8,3025112
8,3023495
8,3023279
8,3025112
8,3025493
8,3025857
8,3024618
8,3024429
8,3022716
8,3024427
8,3022648
8,3025674
8,3025275
8,3023908
8,3024925
8,3025327
8,3022479
9,3022552
9,3023016
9,3022716
9,3022866
9,3023843
9,3022846
9,3023668
9,3022265
9,3022906
9,3025921
9,3022265
9,3022906
9,3024298
9,3025241
9,3022866
9,3023495
9,3022866
9,3023908
9,3022648
9,3025921
9,3025875
9,3025432
9,3024236
9,3024971
9,3022479
9,3023668
9,3025186
9,3024014
9,3025921
9,3022648
9,3025674
9,3025831
9,3023634
10,3024971
10,3025921
10,3023034
10,3024298
10,3023498
10,3022707
10,3024221
10,3024604
10,3025857
10,3025287
10,3022572
10,3025831
10,3026087
10,3026069
10,3026069
10,3022679
10,3024236
10,3025824
10,3023150
10,3024427
10,3023016
10,3025253
10,3023670
10,3024925
10,3023843
11,3025824
11,3024956
11,3023391
11,3025275
11,3024412
11,3023843
11,3025213
11,3023393
11,3025201
11,3024911
12,3025939
12,3022775
12,3025493
12,3026087
12,3025831
12,3024925
12,3025277
12,3022514
12,3022648
12,3024394
12,3024014
12,3023279
12,3023016
12,3022919
12,3023279
12,3023843
12,3022428
12,3024236
12,3025455
12,3026050
12,3024236
12,3025253
12,3024412
12,3025455
13,3026087
13,3022916
13,3025819
13,3024911
13,3025074
13,3026069
13,3022627
13,3024394
13,3024429
13,3023498
13,3024604
13,3023279
13,3023016
14,3024298
14,3023150
14,3025201
14,3022860
14,3025362
14,3022906
14,3025327
14,3022265
14,3025819
14,3025455
14,3026087
14,3022775
14,3025138
14,3024298
14,3025244
14,3026087
14,3025783
14,3024888
14,3024112
14,3022860
14,3025327
14,3022541
14,3022265
14,3022679
14,3023843
14,3023908
14,3026104
14,3025432
14,3023150
14,3023279
15,3025362
15,3022627
15,3022514
15,3023034
15,3024298
15,3024970
15,3025869
15,3025875
15,3025869
15,3024604
16,3022716
17,3022428
17,3022572
17,3025244
17,3026069
17,3023150
17,3025287
17,3025138
17,3026104
17,3025362
17,3022775
17,3022716
17,3023668
17,3026087
17,3025112
17,3022481
17,3024394
18,3022919
18,3026050
18,3024971
18,3022684
18,3024618
18,3026087
18,3025243
18,3024236
18,3023279
18,3025455
18,3024429
18,3023034
18,3025199
18,3022514
18,3025497
18,3022648
18,3022846
18,3025244
19,3022716
19,3024427
19,3022481
19,3024221
19,3023593
19,3024221
19,3024621
19,3023593
19,3022607
19,3025921
19,3025112
19,3022716
19,3025831
19,3026154
20,3025921
20,3026069
20,3025497
20,3023150
20,3025287
21,3025455
21,3023074
21,3023016
21,3022846
21,3024236
21,3024112
21,3022716
21,3025327
21,3024911
21,3024970
21,3022775
21,3025112
21,3023034
21,3025287
21,3025497
21,3025493
21,3025831
21,3024112
21,3025199
21,3022428
21,3025831
21,3024621
21,3024621
21,3022479
21,3025201
21,3025939
21,3024621
21,3023593
21,3025241
21,3022479
22,3023016
22,3025455
22,3022648
22,3024925
22,3023016
22,3022648
22,3024427
22,3025824
22,3025213
22,3025201
22,3024298
22,3026069
22,3024427
22,3022718
22,3025432
22,3025939
22,3022514
22,3025199
22,3024112
22,3024970
22,3022572
22,3023498
22,3024911
22,3022481
22,3025869
22,3022479
22,3024236
23,3025213
23,3025875
23,3026087
23,3022428
23,3024427
23,3025287
23,3025092
23,3025362
23,3025869
23,3022514
23,3022541
23,3023495
23,3023016
23,3025362
24,3024112
24,3024412
24,3022860
25,3025432
25,3023495
25,3023393
25,3024236
25,3024604
25,3024014
25,3024821
25,3022707
25,3022572
25,3023150
25,3023074
25,3025138
25,3022775
25,3022707
25,3025287
25,3025241
25,3022919
25,3025831
25,3025875
25,3022775
25,3025562
25,3025656
25,3024412
25,3025327
25,3025186
26,3022684
26,3025253
26,3025783
26,3023034
26,3024429
26,3024821
26,3023074
26,3022916
26,3022775
26,3025201
26,3025074
26,3022815
26,3024821
26,3026087
26,3022514
26,3025253
26,3022541
26,3025819
27,3025831
27,3022479
27,3022265
27,3023670
27,3025275
27,3022428
27,3022775
27,3023495
28,3024394
28,3022916
28,3025112
29,3022716
29,3024970
29,3025875
29,3026154
29,3025074
29,3025074
30,3025656
30,3025875
30,3025875
30,3025327
30,3025939
30,3025831
30,3022716
30,3025186
30,3025831
30,3023668
30,3022815
30,3024394
30,3025327
30,3023634
31,3023074
31,3025213
31,3025921
31,3025875
31,3025310
31,3023843
31,3022707
31,3025310
31,3023634
31,3024604
32,3022684
32,3022906
32,3025857
32,3022860
32,3023498
32,3026104
32,3024014
32,3023074
32,3025213
32,3025563
32,3022481
32,3024956
32,3022479
32,3025493
32,3025243
32,3025824
32,3025875
32,3025875
32,3024429
32,3025674
32,3025243
32,3026050
32,3026104
32,3025562
32,3022906
33,3023150
33,3023908
33,3022552
33,3022860
33,3025327
33,3024604
34,3022775
34,3025831
34,3023391
34,3024014
34,3025112
34,3025275
34,3022265
34,3025783
34,3025241
34,3024604
34,3022265
34,3024429
34,3024888
34,3025201
34,3024112
34,3022552
34,3022552
34,3022648
34,3024429
35,3026154
35,3022815
35,3025563
35,3024888
35,3025074
35,3025074
35,3023150
35,3023495
35,3024821
35,3025939
35,3022916
35,3022552
35,3023016
35,3023593
35,3025824
35,3022572
35,3023843
35,3023279
35,3022627
35,3024221
35,3024427
35,3024014
35,3026154
35,3023908
35,3024427
35,3024956
35,3023391
35,3025455
35,3026087
35,3022648
35,3025277
35,3023498
36,3022679
36,3025455
36,3026069
36,3022607
36,3024621
36,3022679
36,3025455
36,3025092
36,3023074
36,3023498
36,3024427
36,3025112
36,3022860
36,3024427
37,3026154
37,3025563
37,3023150
37,3025493
37,3022607
37,3025362
37,3024971
37,3023908
37,3023634
37,3025824
37,3024911
37,3023498
37,3022627
37,3025783
37,3025287
37,3022265
37,3022707
37,3025869
37,3025199
37,3025199
37,3022718
37,3022815
37,3024112
37,3023074
37,3026087
37,3025455
37,3025275
37,3023279
38,3025362
38,3022479
38,3023074
38,3023634
38,3023391
38,3022916
38,3022552
38,3022679
38,3025563
38,3022479
38,3022775
38,3022775
38,3026087
38,3023498
38,3022514
38,3022552
38,3024298
38,3022916
39,3025243
39,3022265
39,3025275
39,3025241
39,3025241
39,3025831
39,3022479
39,3023634
39,3025921
39,3022866
39,3025875
39,3023150
39,3025310
39,3025562
39,3023391
39,3025275
39,3025074
39,3024298
39,3025562
39,3023670
39,3025243
39,3022906
39,3024925
39,3025497
39,3026069
39,3025875
39,3025563
39,3025244
39,3025562
39,3022707
39,3024236
40,3025244
40,3022481
40,3022541
40,3024971
40,3023634
40,3024427
40,3025112
40,3025241
40,3026069
40,3023908
40,3025327
40,3025138
41,3024221
41,3022866
41,3025074
41,3025310
41,3025287
41,3025562
41,3024014
41,3023074
42,3026069
42,3024014
42,3024618
42,3024236
42,3025362
